chrom	start	end	num	list	rep1	rep2	rep3
chr2	14153	14610	3	rep1,rep2,rep3	1	1	1
chr2	14610	14700	2	rep2,rep3	0	1	1
chr2	14700	14707	1	rep3	0	0	1
chr2	14859	14913	1	rep2	0	1	0
chr2	14913	14935	2	rep2,rep3	0	1	1
chr2	14935	15447	3	rep1,rep2,rep3	1	1	1
chr2	15447	15448	2	rep1,rep2	1	1	0
chr2	15448	15469	1	rep1	1	0	0
chr2	16004	16046	1	rep3	0	0	1
chr2	16046	16060	2	rep1,rep3	1	0	1
chr2	16060	16575	3	rep1,rep2,rep3	1	1	1
chr2	16575	16617	2	rep1,rep2	1	1	0
chr2	16617	16631	1	rep2	0	1	0
chr2	17954	17966	2	rep1,rep3	1	0	1
chr2	17966	18408	3	rep1,rep2,rep3	1	1	1
chr2	18408	18420	1	rep2	0	1	0
chr2	18574	18607	1	rep3	0	0	1
chr2	18607	18619	2	rep1,rep3	1	0	1
chr2	18619	18991	3	rep1,rep2,rep3	1	1	1
chr2	18991	19024	2	rep1,rep2	1	1	0
chr2	19024	19036	1	rep2	0	1	0
chr2	20597	20598	1	rep2	0	1	0
chr2	20598	20647	2	rep1,rep2	1	1	0
chr2	20647	21084	3	rep1,rep2,rep3	1	1	1
chr2	21084	21085	2	rep1,rep3	1	0	1
chr2	21085	21134	1	rep3	0	0	1
chr2	22949	23413	1	rep2	0	1	0
chr2	23618	23667	1	rep1	1	0	0
chr2	23667	23677	2	rep1,rep2	1	1	0
chr2	23677	24025	3	rep1,rep2,rep3	1	1	1
chr2	24025	24074	2	rep2,rep3	0	1	1
chr2	24074	24084	1	rep3	0	0	1
chr2	28219	28245	1	rep3	0	0	1
chr2	28245	28288	2	rep2,rep3	0	1	1
chr2	28288	28688	3	rep1,rep2,rep3	1	1	1
chr2	28688	28714	2	rep1,rep2	1	1	0
chr2	28714	28757	1	rep1	1	0	0
chr2	33246	33399	1	rep2	0	1	0
chr2	33399	33414	2	rep1,rep2	1	1	0
chr2	33414	33969	3	rep1,rep2,rep3	1	1	1
chr2	33969	33984	2	rep2,rep3	0	1	1
chr2	33984	34015	1	rep2	0	1	0
chr2	40395	40405	1	rep2	0	1	0
chr2	40405	40421	2	rep2,rep3	0	1	1
chr2	40421	40939	3	rep1,rep2,rep3	1	1	1
chr2	40939	40955	2	rep1,rep2	1	1	0
chr2	40955	41066	1	rep2	0	1	0
chr2	42499	42537	1	rep1	1	0	0
chr2	42537	42540	2	rep1,rep2	1	1	0
chr2	42540	42978	3	rep1,rep2,rep3	1	1	1
chr2	42978	43019	2	rep2,rep3	0	1	1
chr2	43019	43047	1	rep2	0	1	0
chr2	43047	43459	2	rep1,rep2	1	1	0
chr2	43459	43521	1	rep1	1	0	0
chr2	47425	47855	1	rep1	1	0	0
chr2	48156	48158	1	rep3	0	0	1
chr2	48158	48193	2	rep1,rep3	1	0	1
chr2	48193	48698	3	rep1,rep2,rep3	1	1	1
chr2	48698	48700	2	rep1,rep2	1	1	0
chr2	48700	48735	1	rep2	0	1	0
chr2	53843	54277	1	rep3	0	0	1
chr2	54508	54520	1	rep1	1	0	0
chr2	54520	54561	2	rep1,rep2	1	1	0
chr2	54561	55010	3	rep1,rep2,rep3	1	1	1
chr2	55010	55022	2	rep2,rep3	0	1	1
chr2	55022	55063	1	rep3	0	0	1
chr2	55412	55466	1	rep2	0	1	0
chr2	55466	55471	2	rep2,rep3	0	1	1
chr2	55471	56081	3	rep1,rep2,rep3	1	1	1
chr2	56081	56091	2	rep1,rep3	1	0	1
chr2	56091	56103	1	rep3	0	0	1
chr2	57950	57956	1	rep3	0	0	1
chr2	57956	58172	2	rep2,rep3	0	1	1
chr2	58172	58698	3	rep1,rep2,rep3	1	1	1
chr2	58698	58737	2	rep1,rep3	1	0	1
chr2	58737	58754	1	rep1	1	0	0
chr2	62132	62195	1	rep3	0	0	1
chr2	62195	62571	2	rep1,rep3	1	0	1
chr2	62571	62634	1	rep1	1	0	0
chr2	62722	63200	1	rep2	0	1	0
chr2	66265	66285	1	rep1	1	0	0
chr2	66285	66296	2	rep1,rep3	1	0	1
chr2	66296	66781	3	rep1,rep2,rep3	1	1	1
chr2	66781	66801	2	rep2,rep3	0	1	1
chr2	66801	66812	1	rep2	0	1	0
chr2	67811	68285	1	rep3	0	0	1
chr2	68995	69327	1	rep1	1	0	0
chr2	72900	72956	1	rep3	0	0	1
chr2	72956	72964	2	rep1,rep3	1	0	1
chr2	72964	73333	3	rep1,rep2,rep3	1	1	1
chr2	73333	73389	2	rep1,rep2	1	1	0
chr2	73389	73397	1	rep2	0	1	0
chr2	76692	76727	1	rep3	0	0	1
chr2	76727	76748	2	rep1,rep3	1	0	1
chr2	76748	77251	3	rep1,rep2,rep3	1	1	1
chr2	77251	77286	2	rep1,rep2	1	1	0
chr2	77286	77307	1	rep2	0	1	0
chr2	77782	77818	1	rep2	0	1	0
chr2	77818	77846	2	rep2,rep3	0	1	1
chr2	77846	78771	3	rep1,rep2,rep3	1	1	1
chr2	78771	78775	2	rep1,rep3	1	0	1
chr2	78775	78777	1	rep1	1	0	0
chr2	78997	79482	1	rep1	1	0	0
